scenario,opponent_strategy,adaptive_agent,rounds_played,win_rate,avg_reward,most_selected_strategy,best_empirical_strategy,explored_strategies,strategy_switches
large,random_partition,adaptive_ucb_meta,120,0.7833333333333333,0.26435185185185184,weighted_value,weighted_value,9,111
large,top_heavy,adaptive_ucb_meta,120,0.8916666666666667,0.4467592592592592,anti_top_heavy,anti_top_heavy,9,119
large,uniform,adaptive_ucb_meta,120,0.8333333333333334,0.26967592592592593,weighted_value,weighted_value,9,119
large,weighted_value,adaptive_ucb_meta,120,0.575,0.1548611111111113,anti_top_heavy,anti_top_heavy,9,97
large,winner_take_most,adaptive_ucb_meta,120,0.925,0.28472222222222215,top_heavy,top_heavy,9,102
wide,anti_top_heavy,adaptive_ucb_meta,120,0.05,-0.19523809523809524,anti_top_heavy,anti_top_heavy,9,119
wide,balanced_priority,adaptive_ucb_meta,120,0.6833333333333333,0.13809523809523808,anti_top_heavy,anti_top_heavy,9,119
wide,defensive_spread,adaptive_ucb_meta,120,0.6083333333333333,0.19846938775510176,anti_top_heavy,anti_top_heavy,9,103
wide,noisy_weighted,adaptive_ucb_meta,120,0.44166666666666665,-0.005272108843537412,anti_top_heavy,anti_top_heavy,9,116
wide,random_partition,adaptive_ucb_meta,120,0.825,0.2154761904761905,weighted_value,weighted_value,9,115
wide,top_heavy,adaptive_ucb_meta,120,0.8833333333333333,0.5124149659863946,anti_top_heavy,anti_top_heavy,9,119
wide,uniform,adaptive_ucb_meta,120,0.75,0.18163265306122456,balanced_priority,balanced_priority,9,119
wide,weighted_value,adaptive_ucb_meta,120,0.5666666666666667,0.24625850340136007,anti_top_heavy,anti_top_heavy,9,86
wide,winner_take_most,adaptive_ucb_meta,120,0.8833333333333333,0.1112244897959184,top_heavy,top_heavy,9,110
high_value,anti_top_heavy,adaptive_ucb_meta,120,0.23333333333333334,-0.16309523809523807,winner_take_most,winner_take_most,9,118
high_value,balanced_priority,adaptive_ucb_meta,120,0.8,0.24603174603174613,weighted_value,weighted_value,9,114
high_value,defensive_spread,adaptive_ucb_meta,120,0.6333333333333333,0.06626984126984135,anti_top_heavy,anti_top_heavy,9,115
high_value,noisy_weighted,adaptive_ucb_meta,120,0.5666666666666667,0.02222222222222223,anti_top_heavy,anti_top_heavy,9,115
high_value,random_partition,adaptive_ucb_meta,120,0.825,0.22936507936507938,weighted_value,weighted_value,9,116
high_value,top_heavy,adaptive_ucb_meta,120,0.875,0.34166666666666673,anti_top_heavy,anti_top_heavy,9,119
high_value,uniform,adaptive_ucb_meta,120,0.8666666666666667,0.25198412698412703,weighted_value,weighted_value,9,118
high_value,weighted_value,adaptive_ucb_meta,120,0.5416666666666666,0.0694444444444444,anti_top_heavy,anti_top_heavy,9,107
high_value,winner_take_most,adaptive_ucb_meta,120,0.39166666666666666,0.1761904761904764,top_heavy,top_heavy,9,95
